dataset_id,model,condition,sample_fraction,chain,AUROC_mean,AUROC_median,AUROC_std,AUROC_count,AUPRC_mean,AUPRC_median,AUPRC_std,AUPRC_count,balanced_accuracy_mean,balanced_accuracy_median,balanced_accuracy_std,balanced_accuracy_count,F1_mean,F1_median,F1_std,F1_count,Brier_mean,Brier_median,Brier_std,Brier_count,calibration_intercept_mean,calibration_intercept_median,calibration_intercept_std,calibration_intercept_count,calibration_slope_mean,calibration_slope_median,calibration_slope_std,calibration_slope_count,dataset_name
D013,logistic_regression,C2,0.75,0,0.9345201283976794,0.9345201283976794,0.003977306452473164,2,0.9617902360625412,0.9617902360625412,0.002035641303491291,2,0.8616264687693259,0.8616264687693259,0.0032797160537410405,2,0.8826779926453825,0.8826779926453825,0.020248307455202688,2,0.12941502871971672,0.12941502871971672,0.029491044472984177,2,0.7938264218721103,0.7938264218721103,0.13841395256326372,2,2.6706235879073428,2.6706235879073428,1.6554502440851457,2,Early Stage Diabetes Risk Prediction
D013,logistic_regression,C2,1.0,PRIMARY,0.953296875,0.953296875,0.0022318057781201776,2,0.9731954873406352,0.9731954873406352,0.0012800577459569998,2,0.894375,0.894375,0.013258252147247797,2,0.915281953106694,0.915281953106694,0.01910689716491962,2,0.08350516041714058,0.08350516041714058,0.004654369673106981,2,0.27445256509256866,0.27445256509256866,0.10879389112047368,2,0.8159898501011067,0.8159898501011067,0.1475332335121667,2,Early Stage Diabetes Risk Prediction
D013,logistic_regression,C3,0.5,0,0.9024063513963022,0.8911002946329034,0.03962181472081982,6,0.9333661266889867,0.9482462088364428,0.03998716274747784,6,0.8323978232646541,0.8282206119162641,0.061033398875853316,6,0.8776236391614263,0.9006691039525418,0.06986842843696535,6,0.12348632767405208,0.13082015427444849,0.03506126341093154,6,0.3838710423593561,0.2837656211646823,0.3577538941583814,6,1.0626206113774412,1.0221516622099935,0.6365790343004529,6,Early Stage Diabetes Risk Prediction
D013,logistic_regression,C3,0.75,0,0.9213866009314722,0.9375936689061417,0.05338555791662308,6,0.9475967273499072,0.9526644113780559,0.0365102790550396,6,0.82133509195678,0.8480185586868143,0.10241870924146704,6,0.8519517589071043,0.8658088235294118,0.06464837616817988,6,0.12377041883386147,0.13564287097504604,0.0611962890893243,6,0.441758306365626,0.25531844437898255,0.8489674452416035,6,1.6447121938865508,1.077260805620364,1.862203995809413,6,Early Stage Diabetes Risk Prediction
D013,logistic_regression,C3,1.0,PRIMARY,0.950825052888038,0.9501190356134386,0.016662748743410772,6,0.9721751247716462,0.9730028288500011,0.011125062219203135,6,0.8841051393809659,0.8765689472685605,0.030476352686626455,6,0.9059849335913798,0.9061191769840563,0.02604652945479384,6,0.09900459789413962,0.10011852554445766,0.013346026476086622,6,0.5657261563115156,0.7262179490318792,0.5015126430568078,6,1.5203249200933495,1.161130979345063,1.155626238343698,6,Early Stage Diabetes Risk Prediction
D013,logistic_regression,C4,0.5,0,0.9278689832610395,0.9233046212742686,0.0336037449997958,6,0.9592414332394773,0.961076804815602,0.020399246893234756,6,0.8111279503267471,0.7955066270283662,0.07307604038954324,6,0.8445257620616503,0.8463774948923464,0.0687474604149354,6,0.15835887942297758,0.15996231221343327,0.019759390506280446,6,1.2133562561917117,0.926548159704368,0.8654333086204591,6,4.319925593376273,3.982036157622896,3.489897094083896,6,Early Stage Diabetes Risk Prediction
D013,logistic_regression,C4,0.75,0,0.9328761844226134,0.9391554942755507,0.05528867175089414,6,0.9536056793054265,0.9554300993155055,0.04052249263147435,6,0.843234598195506,0.8421857718291335,0.06927002475943624,6,0.8619132341879,0.8368209255533199,0.06677289605339531,6,0.11847953468243044,0.11468550716334777,0.05339284586129913,6,7.124863033621639,0.07645144851361649,17.09161938248982,6,8.166616265517362,0.6612347879806901,17.6603331396675,6,Early Stage Diabetes Risk Prediction
D013,logistic_regression,C4,1.0,PRIMARY,0.9552877114790972,0.9561211787591912,0.02138633366406357,6,0.9741894491219586,0.9768159247201796,0.013880926912260597,6,0.8824239650588805,0.8924811060586924,0.04054624144699466,6,0.8914429466528758,0.9194890077243019,0.05135430345218844,6,0.091455680435979,0.08732503780331642,0.021262986542556858,6,0.6839451202148901,0.7583452682210043,0.5750073820389132,6,1.3655082625080084,1.425174934105724,0.6473017995056454,6,Early Stage Diabetes Risk Prediction
D013,logistic_regression,C5,0.5,0,0.9207124891839138,0.9132538230159231,0.02869587223150771,6,0.9517566017543113,0.9514082336854661,0.018453928095762566,6,0.8574332950392561,0.8499323975328897,0.05154723910775378,6,0.8993277331317925,0.9047651650006847,0.04789391158607871,6,0.12545596006197682,0.13297386524205046,0.043694336120357974,6,0.7691716709057642,0.9067557907488686,0.6801205553205922,6,1.6342928004750306,0.9980382548476958,1.4221120329115438,6,Early Stage Diabetes Risk Prediction
D013,logistic_regression,C5,0.75,0,0.942634525754297,0.9549124658102411,0.05344218041518099,6,0.96505182606999,0.9691077152578293,0.03133643387930915,6,0.8685857578833184,0.8618812914761008,0.05126682116131577,6,0.8657630676641914,0.8761375774407179,0.0653588696671018,6,0.09825164569769572,0.0933604886895328,0.03213213728433308,6,19.562902577985025,0.7231821988103344,46.38819351651288,6,16.504921039479353,1.535868963820335,37.736741769429905,6,Early Stage Diabetes Risk Prediction
