dataset_id,dataset_name,condition,delta_AUROC,delta_AUPRC,delta_balanced_accuracy,delta_F1,delta_Brier,delta_calibration_intercept,delta_calibration_slope,models
D006,SPECT Heart,C3,-0.008472727801527672,-0.001822716813436931,-0.005388754829308895,0.005872872913235276,-1.096717146444511e-05,-0.07372619451097791,-0.051209235728614945,3
D006,SPECT Heart,C4,0.027732610049779005,0.00912669065988799,-0.012891114227212045,0.024698168445066854,-0.003137990925706028,0.10238035193034774,0.2175304411640533,3
D006,SPECT Heart,C5,0.06830295823203447,0.02808689044529374,0.08202019565376532,-0.005558843357651777,0.006669883727486901,0.6267350509118769,0.3776591013204995,3
D009,Cervical Cancer Risk Factors,C2,-0.01249194994234711,-0.02120029911224892,0.03585253712789316,0.022220357696243295,-0.029176764943439192,0.1336165928346659,-0.1794613806755824,3
D009,Cervical Cancer Risk Factors,C3,-0.012808342872939119,0.004166383863837382,0.003087645857236828,0.01313038808646029,0.005084683194006938,0.013412918585134381,-0.0705416110954809,3
D009,Cervical Cancer Risk Factors,C4,0.013324421802447195,-0.0018210414989837571,0.01259433200267109,0.01582401065239296,0.03828072448835793,-0.08946882731814076,0.08213446071107056,3
D009,Cervical Cancer Risk Factors,C5,0.2699442417558565,0.406566005257125,0.20212879713453838,0.15435341829697216,0.015155401598984911,-2.8949946952113734,1.5751855177854583,3
D010,HCV Data,C2,0.005503998683296503,0.02062924160772106,0.02361909673193563,0.03055544341342579,-0.006665798449416103,0.151400638959859,-0.06300505002579682,3
D010,HCV Data,C3,-0.003989167720727919,-0.0037576828748509352,-0.006271352769194327,-0.00012154768723145655,0.0005194642632619026,-0.024722637596092268,-0.038254152559197584,3
D010,HCV Data,C4,-0.02726867317138963,-0.05978650375797082,-0.03064425761507465,-0.07451112295163886,0.027336064136268684,-0.45551753409921475,0.1552860467743916,3
D010,HCV Data,C5,0.0176206349290281,0.05596108382808621,0.04645656268510967,0.08436937459472249,-0.011529207048837517,-38.08113722723011,13.066738076851502,3
D011,Mammographic Mass,C2,-0.004753311346286167,-0.009621413381441882,0.0009714171658981771,0.0021183305446414633,0.0030121193334997445,0.01492631010965037,-0.01620363618618385,3
D011,Mammographic Mass,C3,-0.0031938161982233426,-0.006194513679326256,0.0021286680729691865,0.0008630581293076108,0.0010843245565819726,0.009439969663665842,-0.006164435849485339,3
D011,Mammographic Mass,C4,-0.027964904946397362,-0.060499853581703476,-0.011032952524265838,-0.016199735037755736,0.0072821667636913485,-0.01711604991289514,0.13087593553157037,3
D011,Mammographic Mass,C5,-0.0027188924062014155,-0.010098213989675772,0.0030677098100962974,0.0019081529684125131,0.0005298158191437604,-0.0700769275860539,0.022984890483066994,3
D013,Early Stage Diabetes Risk Prediction,C2,0.005366782586051204,0.003176214489620207,0.02332048096346014,0.01594421840012435,-0.005844863952511922,-0.29237960444051586,-0.33086923654746664,3
D013,Early Stage Diabetes Risk Prediction,C3,-0.00014620003585889366,-0.0003832256097946833,-0.0025515999422165057,-0.0004653984035692578,0.0035179132447760303,-0.09382250159553247,-0.05958651716355323,3
D013,Early Stage Diabetes Risk Prediction,C4,0.0009103447727781452,-1.9945093579387674e-05,-0.012210603825025331,-0.013652947679415902,6.984414472490282e-05,0.0069712897018803606,-0.07923950752098992,3
D013,Early Stage Diabetes Risk Prediction,C5,0.01952235830153226,0.011640226887434602,0.017675754238296187,0.005688965057051336,-0.009396696164117646,0.7969894524104513,-0.05193119350281513,3
D014,Diabetic Retinopathy Debrecen,C2,0.004630653518604884,0.0004202548735177114,0.011777277276371678,0.02405888209424893,-0.005692234591797694,0.02437638578580531,0.1269301224358332,3
D014,Diabetic Retinopathy Debrecen,C3,0.0025707115061644283,0.001958284542850297,0.0005853492493587501,0.0030433905281744833,0.0013250394213673393,-0.012896555341890728,-0.0197306842027035,3
D014,Diabetic Retinopathy Debrecen,C4,0.002015908972436383,-0.0006321619872490247,-0.0067881240277649635,-0.0033805370956477474,-0.00035356092997699634,-0.0014020902637148572,0.06292361835058269,3
D014,Diabetic Retinopathy Debrecen,C5,0.01247317369042067,0.009781790633571466,0.0041565517555461895,0.015295793481921486,-0.004268080582371066,0.07762911631339199,0.05511292317829919,3
D015,Thoracic Surgery Data,C2,0.015017950757916232,-0.017165747245593665,0.049031398752973986,0.04176587948688552,-0.011336247534848012,0.0681644496594062,-0.10669007632082946,3
D015,Thoracic Surgery Data,C3,0.004975985787583699,0.0008776781343662795,-0.0029031889126580612,-3.6230466664769846e-05,-0.0052271112703180245,0.009234014841630408,-0.014646748235227455,3
D015,Thoracic Surgery Data,C4,-0.008427411573804852,-0.017351359283992385,-0.02637306698959559,-0.03192072003487712,0.014130289363836738,-0.05667831360052844,0.1897501091892275,3
D015,Thoracic Surgery Data,C5,0.2603003006147824,0.39193453900387215,0.16979745125390586,0.14004870604910985,-0.03351231332279862,-2.110173400410983,1.453007266892131,3
D016,Haberman's Survival,C2,0.017136245890645146,-0.008439262035303763,0.047731765216305365,0.052159102020375804,-0.008892495323530675,0.012987754384816919,-0.07257203159045245,3
D016,Haberman's Survival,C3,-0.004057348207527456,-0.0036508207690298944,-0.00531111685340846,-0.0052574728271717235,0.002726618238650271,0.02966422730786748,0.05821344735621775,3
D016,Haberman's Survival,C4,8.428364811852163e-06,0.02492518765963934,0.0025691358945867013,0.005262175564113847,-0.001731481462370843,-0.006470918328410402,4.817251649952281e-05,3
D016,Haberman's Survival,C5,0.04983934141899408,0.044239039280092374,0.0480537644289614,0.04888509430744992,0.019412643808030056,-0.34907921795060787,0.15321407829807857,3
D019,Myocardial Infarction Complications,C2,0.0007330422889021415,0.0038021379556993917,0.013292349927078432,0.031578931158113555,0.007423783259421853,-0.018190887890461194,0.007201647593550724,3
D019,Myocardial Infarction Complications,C3,-0.0005424324216372808,0.003055719452993544,-0.0014701718770201062,-0.001678667326237578,-0.0013313961645296801,0.05906221566475404,-0.10320639385544834,3
D019,Myocardial Infarction Complications,C4,-0.0091169228829866,-0.010567878021774798,-0.006127772919586809,0.0011489896173163723,0.0038096048503401723,-0.03799996893415573,-0.04898949539365308,3
D019,Myocardial Infarction Complications,C5,0.099060183038381,0.22587476982693352,0.06990959558924743,0.06182654149013039,-0.010293128046506552,-2.4106913343888867,0.9315319049356946,3
D020,Differentiated Thyroid Cancer Recurrence,C2,0.002046574655229727,-0.005671184339259912,0.025243581257307007,0.03965277309965198,-0.0074135218420954925,0.05097985586807955,-0.29477605308324545,3
D020,Differentiated Thyroid Cancer Recurrence,C3,-0.00127881650102953,-0.008159237282530726,0.004062154021704623,0.010462195593928691,-0.002870989212154428,0.05266165336053289,-0.2707464613069485,3
