dataset_id,dataset_name,model,condition,reference_AUROC,apparent_AUROC,delta_AUROC,delta_median_AUROC,reference_AUPRC,apparent_AUPRC,delta_AUPRC,delta_median_AUPRC,reference_balanced_accuracy,apparent_balanced_accuracy,delta_balanced_accuracy,delta_median_balanced_accuracy,reference_F1,apparent_F1,delta_F1,delta_median_F1,reference_Brier,apparent_Brier,delta_Brier,delta_median_Brier,reference_calibration_intercept,apparent_calibration_intercept,delta_calibration_intercept,delta_median_calibration_intercept,reference_calibration_slope,apparent_calibration_slope,delta_calibration_slope,delta_median_calibration_slope
D013,Early Stage Diabetes Risk Prediction,random_forest,C5,0.956411060256658,0.9723330334528449,0.015921973196186934,0.02121686546726731,0.9751071246431962,0.9835760079916352,0.008468883348439094,0.011001389191270139,0.8894095639676681,0.901829005502198,0.012419441534529896,0.021107773799093232,0.9121084081115369,0.9081125894679221,-0.003995818643614868,0.021155313535591524,0.08254846558571606,0.07581159001109403,-0.006736875574622034,-0.006844961485925755,0.4228255338864803,1.0226829375989157,0.5998574037124353,0.6098506277909054,1.500292160872549,1.5394419358897542,0.03914977501720518,0.13267871585394198
D014,Diabetic Retinopathy Debrecen,gradient_boosted_trees,C2,0.7639696311336294,0.7716372673819483,0.007667636248318899,0.004984635466292797,0.8109482526113622,0.8132314202810061,0.0022831676696439818,0.006267146304559157,0.7033299572326005,0.7157680184275929,0.012438061194992356,0.014476341702003626,0.6662109189996822,0.6990455337002286,0.03283461470054638,0.046205009891962856,0.20611177846815656,0.19267503520451107,-0.013436743263645495,-0.012749265163696732,0.07406745324466348,0.0729755823449431,-0.0010918708997203763,-0.014489610888058627,0.5720978339452677,0.8403011583890065,0.26820332444373884,0.3046652505955244
D014,Diabetic Retinopathy Debrecen,gradient_boosted_trees,C3,0.7639696311336294,0.7633512495311675,-0.0006183816024618594,-0.007434603035439524,0.8109482526113622,0.8083461723844135,-0.002602080226948633,-0.009895332795477496,0.7033299572326005,0.6948290015622164,-0.008500955670384114,-0.015577083338067066,0.6662109189996822,0.6686177007022488,0.002406781702566585,0.02140190043415846,0.20611177846815656,0.21688087160044126,0.01076909313228469,0.00978133154414218,0.07406745324466348,0.03146071815479433,-0.04260673508986915,-0.0428381567826852,0.5720978339452677,0.48953225864838085,-0.08256557529688685,-0.09225049462313345
D014,Diabetic Retinopathy Debrecen,gradient_boosted_trees,C4,0.7639696311336294,0.7668249904662315,0.00285535933260217,0.005422181284028271,0.8109482526113622,0.8083088484122443,-0.0026394041991179007,0.0017982574694638265,0.7033299572326005,0.6935215901079316,-0.009808367124668926,-0.00682765251610018,0.6662109189996822,0.6607385341239865,-0.0054723848756956794,0.01564050496688063,0.20611177846815656,0.2090097981374149,0.002898019669258345,-0.0020599472736844704,0.07406745324466348,0.034971959927057324,-0.03909549331760615,-0.046625861265408776,0.5720978339452677,0.6137255505238115,0.041627716578543805,0.03647735550035103
D014,Diabetic Retinopathy Debrecen,gradient_boosted_trees,C5,0.7639696311336294,0.780329767453057,0.016360136319427676,0.009635632961724205,0.8109482526113622,0.8225166410056314,0.011568388394269213,0.011830707708756494,0.7033299572326005,0.7055995770963649,0.002269619863764394,-0.0035106486227789446,0.6662109189996822,0.6849744181032486,0.01876349910356634,0.049543882928629435,0.20611177846815656,0.20251997461608515,-0.003591803852071418,-0.0059810965189056875,0.07406745324466348,0.11226107864439056,0.03819362539972708,0.0176179825971359,0.5720978339452677,0.5758897312389991,0.0037918972937314166,-0.0011729238039147605
D014,Diabetic Retinopathy Debrecen,logistic_regression,C2,0.8171229830611321,0.8177986906710311,0.00067570760989899,0.00016690612227199253,0.8610839499698207,0.8620078484426918,0.0009238984728711097,0.004619537970552923,0.7437788970617922,0.7511714251075954,0.007392528045803148,0.008369116172428304,0.7275027671392952,0.7468998729793204,0.019397105840025186,0.025875614219212473,0.1712150494853374,0.17135257903653267,0.0001375295511952812,-0.0001265363866783109,0.09522543736864254,0.13581003657450602,0.04058459920586348,0.06999666817695097,0.9740741495979665,0.9799326155373456,0.005858465939379109,0.0662683074267163
D014,Diabetic Retinopathy Debrecen,logistic_regression,C3,0.8171229830611321,0.8201232674126375,0.0030002843515054556,0.001572504274575004,0.8610839499698207,0.8637403198892909,0.0026563699194701584,0.0005010753501584198,0.7437788970617922,0.7480410402401517,0.00426214317835949,0.00541898536778318,0.7275027671392952,0.7358962464897534,0.0083934793504582,0.006500993765144569,0.1712150494853374,0.17016597593238145,-0.0010490735529559425,-0.0007019767323657167,0.09522543736864254,0.10068066927777924,0.005455231909136701,0.007078598595796584,0.9740741495979665,0.9230541339502789,-0.051020015647687544,-0.06597305565910827
D014,Diabetic Retinopathy Debrecen,logistic_regression,C4,0.8171229830611321,0.8199058167919002,0.0027828337307681528,0.004968860881077397,0.8610839499698207,0.8633007466061019,0.0022167966362811597,0.003520675592110223,0.7437788970617922,0.7423107476515566,-0.001468149410235653,-0.002852946351849961,0.7275027671392952,0.7328169163528434,0.005314149213548225,0.008166839693011019,0.1712150494853374,0.1705098234307312,-0.0007052260546061839,-0.0005671027685277275,0.09522543736864254,0.1136328957872589,0.01840745841861635,0.028158266199221654,0.9740741495979665,0.9811734759597398,0.00709932636177335,0.024395597711549755
D014,Diabetic Retinopathy Debrecen,logistic_regression,C5,0.8171229830611321,0.8214524595181271,0.004329476456994996,0.001613230298039614,0.8610839499698207,0.8646537139995124,0.003569764029691669,0.00442578973556329,0.7437788970617922,0.740784569066847,-0.002994327994945256,-0.0013308934649415294,0.7275027671392952,0.7366856502291464,0.009182883089851268,0.012051229499712157,0.1712150494853374,0.17020305794496424,-0.0010119915403731528,-0.0003415531193165233,0.09522543736864254,0.18018246361388432,0.08495702624524178,0.10710180318992135,0.9740741495979665,0.9673857201453089,-0.006688429452657574,0.022010754950461564
D014,Diabetic Retinopathy Debrecen,random_forest,C2,0.7565634339782837,0.7621120506758805,0.005548616697596764,0.009728200262109743,0.8006848069858407,0.7987385054638787,-0.0019463015219619573,0.003982442127981933,0.6876265988373942,0.7031278414257137,0.01550124258831953,0.015146460599600786,0.6684739662546856,0.6884188919968608,0.019944925742175212,0.035873215358869226,0.20224191135728206,0.1984644212943392,-0.0037774900629428676,-0.0002726710375963448,0.08638546139271715,0.12002189044398998,0.03363642905127283,0.008027967043187811,0.7964800924905902,0.9032086694149718,0.10672857692438165,0.14783310515255843
