dataset_id,display_index,dataset_name,condition,sample_fraction,delta_AUROC
D019,Dataset 13,Myocardial Infarction Complications,C2,0.75,0.005321672475467322
D019,Dataset 13,Myocardial Infarction Complications,C2,1.0,0.0007330422889021332
D019,Dataset 13,Myocardial Infarction Complications,C3,0.5,-0.0019022017072726001
D019,Dataset 13,Myocardial Infarction Complications,C3,0.75,0.006334401143552034
D019,Dataset 13,Myocardial Infarction Complications,C3,1.0,-0.0005424324216372667
D019,Dataset 13,Myocardial Infarction Complications,C4,0.5,-0.0009937238143015333
D019,Dataset 13,Myocardial Infarction Complications,C4,0.75,-0.0030484640497048
D019,Dataset 13,Myocardial Infarction Complications,C4,1.0,-0.009116922882986534
D019,Dataset 13,Myocardial Infarction Complications,C5,0.5,0.09820618982635783
D019,Dataset 13,Myocardial Infarction Complications,C5,0.75,0.11057687217207168
D019,Dataset 13,Myocardial Infarction Complications,C5,1.0,0.09906018303838098
D020,Dataset 14,Differentiated Thyroid Cancer Recurrence,C2,0.75,0.008291613532824533
D020,Dataset 14,Differentiated Thyroid Cancer Recurrence,C2,1.0,0.0020465746552296997
D020,Dataset 14,Differentiated Thyroid Cancer Recurrence,C3,0.75,0.002090054915703867
D020,Dataset 14,Differentiated Thyroid Cancer Recurrence,C3,1.0,-0.0012788165010295333
D020,Dataset 14,Differentiated Thyroid Cancer Recurrence,C4,0.75,0.00031140010672010024
D020,Dataset 14,Differentiated Thyroid Cancer Recurrence,C4,1.0,0.0007150383660249333
D020,Dataset 14,Differentiated Thyroid Cancer Recurrence,C5,0.75,0.021914192892659296
D020,Dataset 14,Differentiated Thyroid Cancer Recurrence,C5,1.0,0.025621734578763034
