"fitted","normalized_residual","dataset_id","condition","model"
0.00942431316303868,-0.0720303704860641,"D005","C2","random_forest"
0.00463394619297608,0.0537371518624581,"D005","C3","random_forest"
0.00356808169781128,-0.2712227551066,"D005","C3","random_forest"
0.00971270117522648,0.146837674883394,"D005","C4","random_forest"
0.00468349874999028,-0.343664057330636,"D005","C4","random_forest"
-0.000890116304938071,0.45081537887936,"D005","C5","random_forest"
0.0014841479783782,0.184072400141131,"D005","C5","random_forest"
0.0250650211420978,0.639532564617749,"D006","C2","gradient_boosted_trees"
0.0221628965246672,-0.271644023233785,"D006","C2","gradient_boosted_trees"
0.00302893261981566,-0.323181626393984,"D006","C3","gradient_boosted_trees"
0.00207497137060316,-0.614898589632144,"D006","C3","gradient_boosted_trees"
0.0180390789579296,0.0905068493986436,"D006","C4","gradient_boosted_trees"
0.0135378836841542,0.762365840316731,"D006","C4","gradient_boosted_trees"
0.105787593318421,-1.46252641669245,"D006","C5","gradient_boosted_trees"
0.107912587754344,-1.18887655869845,"D006","C5","gradient_boosted_trees"
0.0219939724684935,1.6763416332366,"D006","C2","logistic_regression"
0.0190918478510629,0.401878154174855,"D006","C2","logistic_regression"
0.00585920093053577,0.132980300231342,"D006","C3","logistic_regression"
0.00490523968132328,-0.310956614361255,"D006","C3","logistic_regression"
0.0236844193652301,0.815906297565108,"D006","C4","logistic_regression"
0.0191832240914546,0.255828893735094,"D006","C4","logistic_regression"
0.0555900767628323,0.190293320860418,"D006","C5","logistic_regression"
0.0577150711987552,-0.393912607787295,"D006","C5","logistic_regression"
0.0184184065757743,-0.019807658407922,"D006","C2","random_forest"
0.0155162819583437,0.79782519935775,"D006","C2","random_forest"
0.000360200954640852,-0.277974658466109,"D006","C3","random_forest"
-0.000593760294571642,-0.148531314707862,"D006","C3","random_forest"
0.01418516700933,0.11374921763787,"D006","C4","random_forest"
0.00968397173555453,0.359817700338833,"D006","C4","random_forest"
0.0946582178789455,-0.652966049874515,"D006","C5","random_forest"
0.0967832123148684,-0.359675242966653,"D006","C5","random_forest"
0.0209503021677775,-0.345699034276601,"D009","C2","gradient_boosted_trees"
0.0135170716148611,-0.638072234598884,"D009","C3","gradient_boosted_trees"
0.0158925333026369,-0.916083903717855,"D009","C4","gradient_boosted_trees"
0.212603522501158,6.99116418576319,"D009","C5","gradient_boosted_trees"
0.0178792534941732,-1.1212922516248,"D009","C2","logistic_regression"
0.0163473399255812,-0.267988896516275,"D009","C3","logistic_regression"
0.0215378737099373,1.95128520908547,"D009","C4","logistic_regression"
0.162406005945569,-2.92962560134513,"D009","C5","logistic_regression"
0.014303687601454,-1.59385788445711,"D009","C2","random_forest"
0.0108483399496863,-1.76727771743383,"D009","C3","random_forest"
0.0120386213540372,-1.35597593387856,"D009","C4","random_forest"
0.201474147061682,3.82118290630819,"D009","C5","random_forest"
-0.013816040011511,0.437822767567223,"D010","C2","gradient_boosted_trees"
-0.0170961628529439,0.840022369838574,"D010","C2","gradient_boosted_trees"
-0.0345115397444933,1.20871724344362,"D010","C3","gradient_boosted_trees"
-0.0355897532934877,0.905968221950523,"D010","C3","gradient_boosted_trees"
-0.0280257382023504,-0.541590614946268,"D010","C4","gradient_boosted_trees"
-0.0331132087205298,-0.226201234031223,"D010","C4","gradient_boosted_trees"
0.120471366052406,-3.46593141603955,"D010","C5","gradient_boosted_trees"
0.122873138445405,-3.49445033146783,"D010","C5","gradient_boosted_trees"
-0.0168870886851153,1.00419367205474,"D010","C2","logistic_regression"
-0.0201672115265481,0.742340431388634,"D010","C2","logistic_regression"
-0.0316812714337732,1.17822944553789,"D010","C3","logistic_regression"
-0.0327594849827676,1.05140974509308,"D010","C3","logistic_regression"
-0.02238039779505,0.97700142788214,"D010","C4","logistic_regression"
-0.0274678683132294,0.615032250411435,"D010","C4","logistic_regression"
0.0702738494968166,-1.76958906012699,"D010","C5","logistic_regression"
0.0726756218898159,-2.04406565340212,"D010","C5","logistic_regression"
-0.0204626545778345,0.588871760807175,"D010","C2","random_forest"
-0.0237427774192674,1.03626354672024,"D010","C2","random_forest"
-0.0371802714096681,0.948156410437028,"D010","C3","random_forest"
-0.0382584849586625,1.23964596523456,"D010","C3","random_forest"
-0.0318796501509501,-0.21711999144181,"D010","C4","random_forest"
-0.0369671206691295,0.14295262039542,"D010","C4","random_forest"
