dataset_id,dataset_name,model,condition,delta_AUROC,sample_fraction,analysis_rows,analysis_predictors,minority_count,missing_predictor_cells,rows_in_analysis_frame,display_index,minority_prevalence,missingness_rate,feature_to_sample_ratio,log_sample_size,log_feature_to_sample_ratio,z_log_sample_size,z_log_feature_to_sample_ratio,z_minority_prevalence,z_missingness_rate
D002,Chronic Kidney Disease,logistic_regression,C5,-0.0014899760602221,0.75,400,24,150,1012,300.0,Dataset 02,0.375,0.10541666666666667,0.08,5.703782474656201,-2.5257286443082556,-0.7655284343642131,0.9895464696071742,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,logistic_regression,C5,3.743635819120073e-07,1.0,400,24,150,1012,400.0,Dataset 02,0.375,0.10541666666666667,0.06,5.991464547107982,-2.8134107167600364,-0.23861639400994764,0.6479885502803712,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,random_forest,C2,-0.0010107868445808,0.5,400,24,150,1012,200.0,Dataset 02,0.375,0.10541666666666667,0.12,5.298317366548036,-2.120263536200091,-1.5081692447037085,1.4709453190549606,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,random_forest,C2,-0.0006659373541141,0.75,400,24,150,1012,300.0,Dataset 02,0.375,0.10541666666666667,0.08,5.703782474656201,-2.5257286443082556,-0.7655284343642131,0.9895464696071742,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,random_forest,C2,5.178626609469994e-05,1.0,400,24,150,1012,400.0,Dataset 02,0.375,0.10541666666666667,0.06,5.991464547107982,-2.8134107167600364,-0.23861639400994764,0.6479885502803712,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,random_forest,C3,-0.0013017038720833,0.5,400,24,150,1012,200.0,Dataset 02,0.375,0.10541666666666667,0.12,5.298317366548036,-2.120263536200091,-1.5081692447037085,1.4709453190549606,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,random_forest,C3,0.0005981884594999,0.75,400,24,150,1012,300.0,Dataset 02,0.375,0.10541666666666667,0.08,5.703782474656201,-2.5257286443082556,-0.7655284343642131,0.9895464696071742,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,random_forest,C3,0.0002250223543243,1.0,400,24,150,1012,400.0,Dataset 02,0.375,0.10541666666666667,0.06,5.991464547107982,-2.8134107167600364,-0.23861639400994764,0.6479885502803712,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,random_forest,C4,0.0002974769514914,0.5,400,24,150,1012,200.0,Dataset 02,0.375,0.10541666666666667,0.12,5.298317366548036,-2.120263536200091,-1.5081692447037085,1.4709453190549606,0.5243659897368481,1.8882966566072075
D002,Chronic Kidney Disease,random_forest,C4,0.0003159360093782,0.75,400,24,150,1012,300.0,Dataset 02,0.375,0.10541666666666667,0.08,5.703782474656201,-2.5257286443082556,-0.7655284343642131,0.9895464696071742,0.5243659897368481,1.8882966566072075
